,title,address,gu,lat,lng
0,강남YMCA점,서울 강남구 논현동,강남구,37.5136787,127.0317124
1,강남구청역아이티웨딩점,"서울 강남구 학동로 338 (논현동, 강남파라곤)",강남구,37.5165513,127.0401391
2,강남논현학동점,서울 강남구 논현로131길 28 (논현동),강남구,37.5151899,127.0275539
3,강남대치점,"서울 강남구 역삼로 415 (대치동, 성진빌딩)",강남구,37.501434,127.052328
4,강남도산점,서울 강남구 도산대로37길 20 (신사동),강남구,37.5222821,127.0314799
5,강남율현점,"서울 강남구 밤고개로21길 8 (율현동, 세곡프라자)",강남구,37.4735822,127.1078311
6,강남자곡점,"서울 강남구 자곡로 180 (자곡동, 강남유탑유블레스)",강남구,37.4734846,127.1030979
7,개포동역점,"서울 강남구 개포로82길 11 (개포동, 삼우빌딩)",강남구,37.4889348,127.0679352
8,건설회관점,서울 강남구 언주로 711 (논현동),강남구,37.5163003,127.0299123
9,대청역점,"서울 강남구 개포로109길 34 (개포동, 대청프라자)",강남구,37.4942156,127.077617
10,도곡2동점,"서울 강남구 논현로 142 (도곡동, 동현빌딩)",강남구,37.4824351,127.0429933
11,도산사거리점,서울 강남구 논현동 ,강남구,37.5136787,127.0317124
12,삼성대치점,"서울 강남구 삼성로64길 32 (대치동, 주성빌딩)",강남구,37.5004196,127.0630716
13,삼성동점,서울 강남구 테헤란로88길 10 (대치동),강남구,37.5068833,127.059437
14,삼성중앙역점,"서울 강남구 삼성로 608 (삼성동, 우창빌딩)",강남구,37.50796,127.0565469
15,삼성한전점,서울 강남구 테헤란로107길 11 (삼성동),강남구,37.5104408,127.0650485
16,선릉사거리점,"서울 강남구 선릉로 519 (역삼동, 삼능빌딩)",강남구,37.505905,127.047937
17,선릉역점,"서울 강남구 테헤란로 332 (역삼동, HJ타워)",강남구,37.5038188,127.0481497
18,선정릉역점,서울 강남구 봉은사로 326 (역삼동),강남구,37.5096546,127.0426648
19,수서역점,"서울 강남구 광평로 280 (수서동, 로즈데일오피스텔)",강남구,37.4873425,127.1030015
20,신사역점,서울 강남구 압구정로2길 62 (신사동),강남구,37.5177943,127.0214406
22,압구정로데오역점,서울 강남구 선릉로161길 20 (신사동),강남구,37.527534,127.0388282
